"dow","hour","num_submissions","avg_score","med_score","perc_greater_10"
5,10,15115,10.8537876281839233,1,0.13721468739662586834
5,11,16195,10.4177832664402593,2,0.13189255943192343316
5,12,16026,10.7905278921752153,2,0.13846249844003494322
5,13,15535,11.3891857096878017,2,0.14193756034760218861
5,14,14487,10.7708980465244702,2,0.14205839718368192172
5,15,13099,10.8893045270631346,2,0.13924727078402931521
5,16,12148,10.2444846888376688,2,0.13961145867632532104
5,17,10729,10.4493429024140181,2,0.13803709572187529127
5,18,8717,9.7679247447516347,2,0.13594126419639784329
5,19,7432,10.1660387513455328,2,0.13455328310010764263
5,20,6330,9.9821484992101106,2,0.13886255924170616114
5,21,5552,10.4457853025936599,2,0.14211095100864553314
5,22,5096,9.8799058084772370,2,0.13343799058084772370
5,23,5067,9.9109926978488257,2,0.13084665482534043813
6,0,4778,9.5244872331519464,2,0.12076182503139388866
6,1,4584,9.0303228621291449,1,0.12325479930191972077
6,2,4415,8.6835787089467724,1,0.10554926387315968290
6,3,4137,8.9806623156876964,1,0.10853275320280396423
6,4,4127,8.8584928519505694,1,0.11291495032711412648
6,5,4105,8.9159561510353228,1,0.12131546894031668697
6,6,4213,10.5995727510087823,1,0.14051744600047472110
6,7,4667,11.0582815513177630,1,0.14270409256481679880
6,8,5135,13.0087633885102240,2,0.16708860759493670886
6,9,6024,13.6112217795484728,2,0.18243691899070385126
6,10,6826,13.5908291825373572,2,0.17975388221506006446
6,11,7218,13.5473815461346633,2,0.18536990856192851205
6,12,7663,13.1666449171342816,2,0.18765496541824350776
6,13,7737,13.3964068760501486,2,0.18934987721339020292
6,14,7483,13.2560470399572364,2,0.18602164907122811707
6,15,7192,13.0875973303670745,2,0.18131256952169076752
6,16,6670,13.8835082458770615,2,0.18755622188905547226
6,17,6197,12.9591737937711796,2,0.19299661126351460384
6,18,5929,13.0259740259740260,2,0.18620340698262776185
6,19,5123,14.2740581690415772,2,0.19266055045871559633
6,20,4764,12.7842149454240134,2,0.18975650713685978170
6,21,4673,13.6336400599186818,2,0.19045580997218061203
6,22,4358,13.0906379072969252,2,0.19710876548875631023
6,23,4130,12.8382566585956416,2,0.18087167070217917676
